source,target
10285276,10930230
10930230,44757832
12336745,127180004
12336745,347869430
14718557,10285276
18149784,27500083
38012724,152575339
38145120,27500083
44757832,58126441
44757832,152812551
44758293,38012724
52638595,14718557
54682820,12336745
56948264,192277919
57394364,27500083
58417326,163940226
61277903,3449030
62294035,60942144
152677871,152566403
152728411,192262498
192262498,57462707
192277919,192292592
192292592,56948264
192302605,192292592
192311870,680047453
231444340,3449030
349550521,27500083
680047453,192262498
806053232,833533414
833533414,806053232
12336745,670264795
14718557,10930230
14718557,152954676
20502551,67164109
31639677,152728411
56948264,192292592
57227715,12336745
57227715,60942144
57993876,72059043
82064648,10930230
152545160,680047453
152695818,14718557
152728411,192311870
152919573,10285276
152954676,13969437
192270939,163940226
633972414,152668721
645461966,60942144
680047453,152545160
10285276,152919573
10930230,67498733
27500083,12336745
27500083,61277903
34612904,49050431
56948264,192262498
58105405,38012724
67498733,10930230
67498733,14718557
73216727,127180004
82653598,77061268
127180004,61277903
128389230,695084077
152845060,72059043
152954676,14718557
192308594,163940226
192311870,163940226
10285276,52638595
14718557,44758293
44757832,10930230
57579598,680047453
58126441,44757832
61277903,60942144
90195448,3449030
152527206,192292592
152728411,31639677
152728411,192292592
192262498,680047453
231444340,90195448
298848587,72059043
670264795,12336745
680047453,57579598
833533414,72059043
3449030,90195448
3449030,231444340
10285276,14718557
10930230,152695818
14718557,152812551
18149784,35011142
21720831,10930230
44775373,12336745
48580312,127180004
57394364,12336745
57579598,163940226
77061268,14718557
82064648,72059043
90195448,231444340
134608966,12336745
152545160,163940226
152674228,163940226
152694589,72059043
152888745,44758293
192262498,163940226
192277919,163940226
192292592,152527206
3449030,18149784
12336745,60942144
14718557,152695818
27500083,107903575
38012724,36026186
44757832,152677871
44758293,14718557
49201252,12336745
52638595,38012724
56948264,163940226
57579598,152545160
58098309,163940226
67164109,73216727
135804087,27500083
152575339,72059043
152674228,57462707
163384967,163940226
192259113,163940226
192259555,163940226
231444340,27500083
421462255,163940226
680047453,192311870
14718557,77061268
38012724,52450086
44758293,152888745
49050431,27500083
49485514,72059043
57462707,152527206
57462707,152674228
57462707,192262498
57579598,192292592
57579598,192311870
61300604,62294035
67164109,20502551
67664638,72059043
73216727,12336745
73216727,60942144
107903575,27500083
152674228,152527206
152728411,163940226
152728411,192311566
192263688,163940226
192263688,192292592
192304709,163940226
298848587,147874145
347869430,61277903
645461966,12336745
3449030,61277903
27500083,18149784
27500083,90195448
31165182,72059043
34612904,231444340
44148160,60942144
49238154,72059043
57227715,61277903
57462707,56948264
57993876,13969437
62294035,61300604
73216727,61277903
139612518,27500083
152674228,192292592
152695818,152812551
152812551,44757832
152888745,582216533
192262498,192292592
192305114,163940226
192311566,163940226
231444340,34612904
421455363,72059043
10930230,14718557
27500083,60942144
27500083,349550521
35011142,18149784
44757832,644832101
57394364,60942144
57993946,14456002
58098309,680047453
58105405,226096340
61277903,49354160
62294035,61277903
72059043,38012724
137335214,163940226
152674228,56948264
152695818,10930230
152785290,128389230
152812551,14718557
152812551,152695818
192300522,163940226
192302605,163940226
192311870,56948264
349550521,12336745
421455363,57993946
421457502,38012724
680047453,192302605
10930230,10285276
12336745,649692030
14718557,52638595
22289139,72059043
27500083,49050431
27500083,231444340
31639677,163940226
38012724,72059043
49064686,60942144
52450086,38012724
54682820,61277903
54682820,62294035
56948264,57462707
57394364,61277903
65428475,20502551
152890601,10285276
152954676,72059043
192277919,680047453
601659284,163940226
649692030,12336745
680047453,58098309
3449030,34612904
10930230,21720831
12336745,61277903
12336745,73216727
14718557,67498733
21720831,96643641
44757832,10285276
52450086,72059043
54682820,127180004
56948264,152674228
61277903,12336745
61277903,127180004
73216727,67164109
90195448,27500083
152527206,152674228
152668721,633972414
152785290,72059043
192292592,163940226
347869430,12336745
3449030,127180004
10285276,44757832
10930230,82064648
12336745,645461966
14456002,57993946
14718557,72059043
34612904,3449030
36026186,38012724
49050431,34612904
54682820,60942144
57462707,163940226
57462707,192292592
57993946,421455363
60942144,12336745
60942144,61277903
61277903,73216727
77061268,82653598
127180004,12336745
152527206,163940226
152668721,226096340
152677871,44757832
152890601,72059043
192262498,56948264
192277919,56948264
192292592,152674228
644832101,44757832
680047453,192277919
