id,label,followers,friends
3449030,Non_Conspiracy_Graphs,16,16
12336745,Non_Conspiracy_Graphs,16,14
13969437,5G_Conspiracy_Graphs,12,13
49049045,Non_Conspiracy_Graphs,6,10
52638595,5G_Conspiracy_Graphs,12,13
58105405,5G_Conspiracy_Graphs,11,11
108443291,5G_Conspiracy_Graphs,10,9
112834181,5G_Conspiracy_Graphs,5,5
128389230,5G_Conspiracy_Graphs,9,7
132292946,5G_Conspiracy_Graphs,10,9
133005215,5G_Conspiracy_Graphs,7,8
135804087,Non_Conspiracy_Graphs,10,11
137335214,Other_Graphs,9,11
152565455,5G_Conspiracy_Graphs,4,6
152575339,5G_Conspiracy_Graphs,9,8
152685987,5G_Conspiracy_Graphs,5,8
152694589,5G_Conspiracy_Graphs,12,12
152695818,5G_Conspiracy_Graphs,13,13
152728411,Other_Graphs,10,11
152818270,5G_Conspiracy_Graphs,11,12
163940226,Other_Graphs,15,10
192287195,Other_Graphs,6,8
192292592,Other_Graphs,11,10
192302605,Other_Graphs,10,12
192311566,Other_Graphs,7,7
346981254,5G_Conspiracy_Graphs,9,10
421457502,5G_Conspiracy_Graphs,9,10
421462255,Other_Graphs,8,9
510876013,5G_Conspiracy_Graphs,6,8
528615019,5G_Conspiracy_Graphs,8,10
582216533,5G_Conspiracy_Graphs,11,8
680047453,Other_Graphs,11,11
21720831,5G_Conspiracy_Graphs,11,12
56948264,Other_Graphs,11,11
57394364,Non_Conspiracy_Graphs,12,13
107903575,Non_Conspiracy_Graphs,10,11
127180004,Non_Conspiracy_Graphs,14,10
152527206,Other_Graphs,11,10
152545160,Other_Graphs,12,10
152890601,5G_Conspiracy_Graphs,10,12
163384967,Other_Graphs,7,9
192305114,Other_Graphs,6,7
380118161,5G_Conspiracy_Graphs,9,9
833656886,5G_Conspiracy_Graphs,9,9
38012724,5G_Conspiracy_Graphs,13,13
44757832,5G_Conspiracy_Graphs,14,14
48580312,Non_Conspiracy_Graphs,8,10
49354160,Non_Conspiracy_Graphs,11,12
54682820,Non_Conspiracy_Graphs,8,12
57993946,5G_Conspiracy_Graphs,11,11
